"id","mercedes_c","vw_golf","vw_passat","bmw_320","opel_astra","diesel","other_car_owner","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage","mileage2","age_3","age_6","age_car_years","age_car_years2"
104720,0,1,0,0,0,0,0,0,1,0,2,1,117,5,1,1,1,0,0,0,40,1600,0,0,2.5,6.25
32761,0,0,1,0,0,1,0,0,1,0,2,0,148,5,1,1,1,1,1,0,139.8,19544.04,1,0,5.7,32.49
32601,0,0,1,0,0,0,0,1,0,0,1,1,204,4,1,1,1,1,1,0,134,17956,1,1,8.9,79.21
53732,0,0,1,0,0,1,2,1,0,0,1,1,122,5,1,1,0,0,0,0,34.85,1214.5225,0,0,1.6,2.56
3655,0,1,0,0,0,1,1,1,0,0,0,1,139,5,1,1,1,1,0,0,90.142,8125.580164,1,0,4.9,24.01
98140,1,0,0,0,0,1,1,1,0,0,1,1,115,6,1,1,0,0,0,0,31.299,979.627401,0,0,1.2,1.44
93460,0,0,1,0,0,1,2,0,1,0,1,1,153,4,1,1,1,1,1,1,155.3,24118.09,1,1,9.4,88.36
100969,0,0,1,0,0,1,1,1,0,0,0,1,120,5,1,1,1,1,0,0,95.001,9025.190001,1,0,4.9,24.01
31090,0,0,1,0,0,1,1,1,0,1,2,1,120,5,1,1,1,1,0,0,72.5,5256.25,1,0,3.1,9.61
12694,0,1,0,0,0,1,1,1,0,0,0,0,109,5,1,1,1,1,0,0,73.53,5406.6609,1,0,3.6,12.96
79218,0,0,0,1,0,0,0,0,1,0,2,0,147,4,1,1,1,1,0,0,74,5476,1,1,7.1,50.41
42633,0,1,0,0,0,1,1,1,0,0,1,1,119,5,1,1,1,1,1,0,115.422,13322.238084,0,0,2.6,6.76
96164,0,0,0,1,0,1,1,0,0,0,2,1,123,5,1,1,1,1,1,0,145,21025,1,0,3.5,12.25
53417,0,0,0,1,0,1,1,0,0,0,0,1,120,5,1,1,1,1,1,1,159.856,25553.940736,1,0,5.6,31.36
89115,0,1,0,0,0,0,2,1,0,0,0,1,176,4,1,1,1,1,0,0,51.98,2701.9204,1,1,6.9,47.61
72403,0,0,0,1,0,1,1,1,0,0,0,0,127,5,0,0,0,0,0,0,17.013,289.442169,0,0,1.2,1.44
93164,0,1,0,0,0,0,2,0,1,0,0,1,124,5,1,0,0,0,0,0,29.8,888.04,0,0,1.4,1.96
28375,0,0,1,0,0,1,1,1,0,0,0,1,135,5,1,1,1,1,0,0,52.88,2796.2944,0,0,2.5,6.25
