"id","sales_price","mercedes_c","vw_golf","vw_passat","bmw_320","opel_astra","diesel","other_car_owner","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage","mileage2","age_3","age_6","age_car_years","age_car_years2"
52927,12.06,0,0,1,0,0,1,2,1,1,0,1,1,177,4,1,1,1,1,1,0,149,22201,1,1,9,81
49185,21.121,0,0,1,0,0,1,1,1,0,0,1,1,135,5,1,1,1,0,0,0,42,1764,0,0,1.2,1.44
64639,31.7,0,0,0,1,0,0,1,1,0,0,0,1,152,6,0,0,0,0,0,0,14.3,204.49,0,0,1.7,2.89
11372,14.24,1,0,0,0,0,0,2,1,0,0,0,0,179,4,1,1,1,1,0,0,56.161,3154.057921,1,1,6.4,40.96
7593,20.35,0,0,1,0,0,1,1,1,0,0,1,1,149,5,1,1,1,1,1,0,101.482,10298.596324,1,0,4.3,18.49
89992,11.679,0,1,0,0,0,0,2,1,0,0,1,1,154,4,1,1,1,1,0,0,71.544,5118.543936,1,1,7,49
100092,17.98,0,0,0,1,0,0,1,1,1,0,0,1,164,5,1,1,1,1,0,0,56.5,3192.25,1,0,5.8,33.64
69129,17.04,1,0,0,0,0,1,2,1,0,0,1,1,176,4,1,1,1,1,0,0,98.323,9667.412329,1,1,6,36
4549,20.829,0,1,0,0,0,1,2,1,0,0,1,0,103,5,0,0,0,0,0,0,18.833,354.681889,0,0,1.8,3.24
44946,21.21,1,0,0,0,0,0,2,1,0,0,1,1,229,5,1,1,1,1,0,0,74.352,5528.219904,1,0,5.3,28.09
81418,14.048,1,0,0,0,0,0,2,1,0,0,1,0,194,4,1,1,1,1,1,0,103.8,10774.44,1,1,7.7,59.29
88297,24.29,0,0,0,1,0,1,1,1,0,0,2,0,123,5,1,1,1,1,1,0,108.816,11840.921856,1,0,3,9
78093,17.04,0,0,1,0,0,1,1,1,0,0,0,1,135,5,1,1,1,1,1,0,134.229,18017.424441,1,0,4.1,16.81
27201,9.289,0,1,0,0,0,0,1,1,0,0,1,1,148,5,1,1,1,1,1,0,149.2,22260.64,1,0,5.1,26.01
64252,6.52,0,1,0,0,0,1,2,1,0,0,0,1,122,4,1,1,1,1,1,1,159,25281,1,1,7.1,50.41
42194,10.44,1,0,0,0,0,0,2,1,0,0,0,1,164,5,1,1,1,1,1,1,189.5,35910.25,1,0,3.8,14.44
9118,3.389,0,0,1,0,0,1,2,1,0,0,0,1,156,4,1,1,1,1,1,0,125.654,15788.927716,1,1,9.8,96.04
53494,25.14,0,0,0,1,0,1,1,1,0,0,2,0,124,5,1,1,1,1,0,0,66.615,4437.558225,1,0,3.1,9.61
97726,20.84,0,1,0,0,0,1,1,1,0,0,0,1,102,6,1,0,0,0,0,0,24.5,600.25,0,0,1.9,3.61
56764,12.79,0,0,1,0,0,1,3,0,1,0,1,0,159,5,1,1,1,1,1,1,171,29241,1,0,5.4,29.16
32351,27.59,1,0,0,0,0,1,2,1,0,0,1,1,128,5,1,1,0,0,0,0,37.235,1386.445225,0,0,2.8,7.84
67388,35.115,0,0,0,1,0,1,1,1,0,0,2,1,129,5,1,0,0,0,0,0,23.55,554.6025,0,0,1.2,1.44
12191,13.28,1,0,0,0,0,1,2,0,1,0,0,1,160,4,1,1,1,1,1,0,110,12100,1,1,7.2,51.84
90424,32.799,0,0,1,0,0,1,1,1,0,0,0,1,149,5,0,0,0,0,0,0,12.943,167.521249,0,0,1.5,2.25
104428,17.49,0,0,0,1,0,1,1,1,0,0,1,1,119,5,1,1,1,1,1,0,115.986,13452.752196,1,0,3.4,11.56
81433,19.679,0,0,0,1,0,1,0,1,0,0,2,1,119,5,1,1,1,1,1,1,170.1,28934.01,1,0,3.2,10.24
68624,19.65,0,0,0,1,0,1,1,1,0,0,1,1,142,5,1,1,1,1,1,0,112.068,12559.236624,1,0,3.3,10.89
36606,16.96,0,0,0,1,0,1,2,1,0,0,0,1,119,5,1,1,1,1,0,0,66.91,4476.9481,1,0,3.5,12.25
12775,17.57,0,0,1,0,0,1,1,1,0,0,1,1,140,5,1,1,1,1,1,0,109.986,12096.920196,1,0,4.4,19.36
76320,13,1,0,0,0,0,1,2,1,0,0,1,1,160,4,1,1,1,1,1,0,134.54,18101.0116,1,1,8,64
30779,34.1,0,0,0,1,0,1,2,1,0,0,1,1,135,5,1,1,1,1,0,0,94.771,8981.542441,0,0,2.6,6.76
31624,17.39,0,0,0,1,0,1,1,1,0,0,1,0,120,5,1,1,1,1,0,0,82.763,6849.714169,1,0,3.7,13.69
16636,15.03,0,0,1,0,0,1,0,1,0,0,2,1,120,5,1,1,1,1,1,0,110,12100,0,0,2.3,5.29
33060,27.758,0,0,0,1,0,1,1,1,0,0,2,1,125,5,1,1,1,1,0,0,69.31,4803.8761,1,0,3,9
68532,20.425,0,0,1,0,0,1,1,1,0,1,1,1,140,5,1,1,0,0,0,0,33.927,1151.041329,1,0,4.1,16.81
76832,18.411,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,0,0,96.783,9366.949089,0,0,1.6,2.56
41170,19.569,0,1,0,0,0,1,1,1,0,0,1,0,102,6,0,0,0,0,0,0,18.6,345.96,0,0,1.1,1.21
186,7.61,0,1,0,0,0,0,2,1,0,0,0,0,176,4,1,1,1,1,1,0,122.7,15055.29,1,1,7.8,60.84
24690,13.448,0,1,0,0,0,1,1,1,0,0,0,1,109,5,1,1,0,0,0,0,37.201,1383.914401,0,0,2.4,5.76
80989,13.399,0,0,1,0,0,1,1,1,0,0,2,1,121,5,1,1,1,1,1,0,127,16129,1,0,3.1,9.61
87958,12.23,0,1,0,0,0,1,1,1,0,0,2,1,119,5,1,1,1,1,0,0,72.555,5264.228025,1,0,4.3,18.49
72007,15.271,0,0,0,1,0,1,1,1,0,0,0,0,128,5,1,1,1,1,1,0,129.484,16766.106256,1,0,3.8,14.44
70998,17.409,0,1,0,0,0,1,1,1,0,0,0,0,104,5,1,0,0,0,0,0,24.331,591.997561,0,0,1.8,3.24
89298,16.4,0,0,1,0,0,1,0,1,0,0,0,1,153,5,1,1,1,1,1,1,188,35344,1,0,3.4,11.56
104586,11.7,0,0,1,0,0,1,1,0,0,0,0,1,121,5,1,1,1,1,1,0,144.341,20834.324281,1,0,5,25
2098,15.46,0,0,1,0,0,1,0,0,1,0,0,1,159,5,1,1,1,1,1,0,105,11025,1,0,5.8,33.64
20978,15.71,1,0,0,0,0,1,1,1,0,0,0,1,180,5,1,1,1,1,0,0,88.7,7867.69,1,0,4.9,24.01
16954,15.72,0,1,0,0,0,1,1,1,0,0,0,1,125,5,1,1,1,1,0,0,79.938,6390.083844,0,0,2.4,5.76
19024,20.87,1,0,0,0,0,0,1,1,0,0,1,1,167,5,1,1,1,1,0,0,74.795,5594.292025,1,0,4.1,16.81
99848,20.81,1,0,0,0,0,1,1,1,0,0,0,1,124,5,1,1,1,1,0,0,61.158,3740.300964,1,0,4,16
28202,19.039,0,1,0,0,0,0,1,1,0,0,1,1,115,5,0,0,0,0,0,0,11.5,132.25,0,0,1.1,1.21
73404,27.5,0,0,0,1,0,1,1,1,0,0,0,0,123,5,1,0,0,0,0,0,25.744,662.753536,0,0,2,4
